qsetId,qId,qType,objName,objIndex,totalSteps,exposureStep,temporalExposure,spatialExposureRatio,objArea,totalArea,requestedAssist,answeredCorrect,navigated,classY
2545,3889,color_room,sofa,33,31,4,3,0.003293419112156511,33873,10285056,True,True,True,5
2545,3871,exist_positive,cushion,24,31,31,1,0.03225806451612903,331776,10285056,True,True,True,5
2545,3872,exist_positive,stool,12,31,31,1,0.03225806451612903,331776,10285056,False,False,False,0
2717,1051,location,fireplace,26,29,13,6,0.0003220910161238825,3099,9621504,True,False,True,2
2717,1087,color_room,dishwasher,30,29,19,5,0.0001693082495210728,1629,9621504,False,True,False,3
2717,1052,location,console,14,29,28,1,0.00022584826654959558,2173,9621504,True,False,True,2
2717,1077,exist_negative,sofa,33,29,5,2,0.06896551724137931,663552,9621504,False,True,False,3
930,4358,exist_positive,towel,31,31,31,1,0.03225806451612903,331776,10285056,True,True,True,5
930,4369,color_room,cabinet,21,31,9,4,0.0006505555244424533,6691,10285056,True,True,True,5
1993,672,color,washer,10,35,6,2,0.00042860243055555555,4977,11612160,True,True,True,5
3211,3885,color_room,door,19,31,8,4,3.091864545997611e-05,318,10285056,False,False,False,0
3211,3878,color_room,sofa,33,31,16,9,0.017295481910842295,177885,10285056,False,False,False,0
3134,2957,color_room,table,7,37,33,4,0.004374165832499166,53696,12275712,True,True,True,5
3134,2941,exist_positive,dryer,22,37,19,2,0.05405405405405406,663552,12275712,False,True,False,3
3134,2896,location,console,14,37,4,3,0.003296020630005005,40461,12275712,False,True,False,3
3134,2963,color_room,plant,18,37,4,3,0.0008515188365448782,10453,12275712,True,True,True,5
1445,1521,location,toilet,0,27,10,3,0.000993753929469593,8902,8957952,False,True,True,4
2062,731,exist_negative,sofa,33,37,37,1,0.02702702702702703,331776,12275712,False,False,False,0
2062,738,color,dishwasher,30,37,20,5,0.0019246948771688354,23627,12275712,False,True,False,3
2062,733,exist_negative,table,7,37,37,1,0.02702702702702703,331776,12275712,False,True,False,3
133,5176,color_room,picture,17,37,1,3,0.00015974633487654321,1961,12275712,True,True,True,5
133,5101,location,sofa,33,37,1,3,0.0038717917135885887,47529,12275712,False,True,True,4
736,2403,location,sofa,33,29,1,6,0.014096029061568753,135625,9621504,True,True,True,5
736,2434,color_room,countertop,34,29,1,14,0.00942565736084504,90689,9621504,True,True,True,5
227,2847,location,towel,31,23,12,1,0.0012040601516371443,9188,7630848,False,True,True,4
227,2887,color_room,plant,18,23,2,3,0.0008946581035292539,6827,7630848,False,False,True,1
227,2891,color_room,plant,18,23,21,2,0.0002188485473698336,1670,7630848,False,True,True,4
1640,3780,color,seating,1,41,22,8,0.0016260603686766035,22119,13602816,False,True,False,3
1640,3733,location,wardrobe,25,41,22,2,0.007875942745972598,107135,13602816,True,True,True,5
1640,3795,color_room,sink,23,41,3,6,0.0021011090644760615,28581,13602816,True,True,True,5
2124,65,color_room,chair,8,29,24,4,0.00090495207402086,8707,9621504,False,True,True,4
